a, Jungle, Raining, Buildings
b, Urban, Snowing, People
c, Desert, Snowing, People
d, Desert, Sunny, People
e, Jungle, Raining, Tree
f, Desert, Raining, People
g, Desert, Snowing, River
h, Desert, Sunny, People
i, Urban, Sunny, River
j, Mountain, Sunny, River
k, Mountain, Snowing, People
l, Jungle, Sunny, People
m, Desert, Raining, Buildings
n, Mountain, Snowing, Tree
o, Jungle, Sunny, River
p, Jungle, Snowing, Buildings
q, Desert, Sunny, Buildings
r, Mountain, Raining, Tree
s, Jungle, Raining, People
t, Mountain, Raining, People
u, Mountain, Snowing, River
v, Jungle, Raining, Tree
